20190102 052600;1.1262;1.1263;1.1262;1.1263;40
20190102 052700;1.1263;1.1263;1.1263;1.1263;34
20190102 052800;1.1263;1.1263;1.1263;1.1263;46
20190102 052900;1.1263;1.1263;1.1263;1.1263;15
20190102 053000;1.1263;1.1263;1.1263;1.1263;49
20190102 053100;1.1263;1.1266;1.1263;1.1266;94
20190102 053200;1.1266;1.1266;1.1265;1.1265;55
20190102 053300;1.1266;1.1266;1.1265;1.1266;48
20190102 053400;1.1266;1.1266;1.1265;1.1266;36
20190102 053500;1.1266;1.1267;1.1266;1.1266;53
20190102 053600;1.1266;1.1267;1.1266;1.1266;39
20190102 053700;1.1267;1.1268;1.1266;1.1268;90
20190102 053800;1.1268;1.1269;1.1268;1.1268;88
20190102 053900;1.1268;1.1268;1.1267;1.1267;34
20190102 054000;1.1267;1.1268;1.1266;1.1268;52
20190102 054100;1.1268;1.1268;1.1267;1.1267;49
20190102 054200;1.1267;1.1268;1.1267;1.1267;62
20190102 054300;1.1268;1.1268;1.1266;1.1267;71
20190102 054400;1.1267;1.1267;1.1267;1.1267;64
20190102 054500;1.1267;1.1268;1.1267;1.1268;59
20190102 054600;1.1268;1.1268;1.1267;1.1267;35
20190102 054700;1.1267;1.1269;1.1267;1.1267;106
20190102 054800;1.1268;1.1268;1.1267;1.1267;121
20190102 054900;1.1267;1.1267;1.1267;1.1267;50
20190102 055000;1.1267;1.1268;1.1267;1.1267;44
20190102 055100;1.1268;1.1268;1.1267;1.1268;64
20190102 055200;1.1268;1.1268;1.1267;1.1268;41
20190102 055300;1.1268;1.1268;1.1268;1.1268;40
20190102 055400;1.1268;1.1269;1.1266;1.1266;61
20190102 055500;1.1266;1.1267;1.1266;1.1266;61
20190102 055600;1.1266;1.1266;1.1265;1.1266;77
20190102 055700;1.1266;1.1266;1.1265;1.1265;68
20190102 055800;1.1265;1.1267;1.1265;1.1267;159
20190102 055900;1.1267;1.1269;1.1267;1.1269;166
20190102 060000;1.1269;1.1269;1.1268;1.1268;107
20190102 060100;1.1268;1.1268;1.1263;1.1266;152
20190102 060200;1.1266;1.1268;1.1266;1.1267;170
20190102 060300;1.1267;1.1269;1.1266;1.1268;127
20190102 060400;1.1268;1.1269;1.1267;1.1268;61
20190102 060500;1.1269;1.1269;1.1268;1.1269;48
20190102 060600;1.1269;1.1269;1.1266;1.1266;72
20190102 060700;1.1266;1.1266;1.1265;1.1265;61
20190102 060800;1.1265;1.1267;1.1265;1.1267;60
20190102 060900;1.1267;1.1267;1.1265;1.1265;81
20190102 061000;1.1265;1.1266;1.1265;1.1265;46
20190102 061100;1.1266;1.1269;1.1265;1.1267;316
20190102 061200;1.1267;1.1267;1.1265;1.1265;176
20190102 061300;1.1265;1.1266;1.1263;1.1264;138
20190102 061400;1.1264;1.1265;1.1264;1.1264;102
20190102 061500;1.1264;1.1265;1.1264;1.1264;105
20190102 061600;1.1264;1.1265;1.1264;1.1265;119
20190102 061700;1.1266;1.1266;1.1264;1.1264;47
20190102 061800;1.1264;1.1264;1.1263;1.1263;62
20190102 061900;1.1264;1.1264;1.1263;1.1263;53
20190102 062000;1.1263;1.1263;1.1261;1.1261;160
20190102 062100;1.1261;1.1262;1.1261;1.1262;94
20190102 062200;1.1262;1.1263;1.1261;1.1261;99
20190102 062300;1.1261;1.1262;1.1261;1.1262;90
20190102 062400;1.1262;1.1262;1.1262;1.1262;55
20190102 062500;1.1262;1.1265;1.1261;1.1264;166
20190102 062600;1.1263;1.1264;1.1263;1.1263;110
20190102 062700;1.1263;1.1263;1.1262;1.1263;102
20190102 062800;1.1263;1.1265;1.1263;1.1265;67
20190102 062900;1.1264;1.1267;1.1264;1.1267;159
20190102 063000;1.1267;1.1268;1.1266;1.1267;74
20190102 063100;1.1267;1.1267;1.1267;1.1267;78
20190102 063200;1.1267;1.1267;1.1267;1.1267;22
20190102 063300;1.1267;1.1267;1.1267;1.1267;21
20190102 063400;1.1267;1.1267;1.1266;1.1267;63
20190102 063500;1.1267;1.1267;1.1267;1.1267;74
20190102 063600;1.1267;1.1267;1.1267;1.1267;67
20190102 063700;1.1267;1.1267;1.1267;1.1267;13
20190102 063800;1.1267;1.1267;1.1267;1.1267;25
20190102 063900;1.1267;1.1267;1.1266;1.1267;30
20190102 064000;1.1267;1.1267;1.1266;1.1266;43
20190102 064100;1.1266;1.1267;1.1266;1.1266;46
20190102 064200;1.1266;1.1267;1.1266;1.1267;63
20190102 064300;1.1267;1.1267;1.1265;1.1265;60
20190102 064400;1.1265;1.1265;1.1265;1.1265;30
20190102 064500;1.1265;1.1267;1.1265;1.1265;134
20190102 064600;1.1265;1.1266;1.1265;1.1266;58
20190102 064700;1.1265;1.1267;1.1265;1.1266;79
20190102 064800;1.1266;1.1266;1.1265;1.1265;49
20190102 064900;1.1265;1.1265;1.1265;1.1265;66
20190102 065000;1.1265;1.1266;1.1265;1.1266;133
20190102 065100;1.1266;1.1267;1.1266;1.1267;61
20190102 065200;1.1267;1.1268;1.1266;1.1267;92
20190102 065300;1.1267;1.1268;1.1267;1.1268;31
20190102 065400;1.1268;1.1268;1.1266;1.1266;93
20190102 065500;1.1267;1.1267;1.1266;1.1266;40
20190102 065600;1.1267;1.1267;1.1267;1.1267;26
20190102 065700;1.1268;1.1268;1.1267;1.1267;72
20190102 065800;1.1267;1.1267;1.1266;1.1267;52
20190102 065900;1.1267;1.1267;1.1266;1.1267;46
20190102 070000;1.1267;1.1268;1.1267;1.1267;75
20190102 070100;1.1267;1.1269;1.1267;1.1269;130
20190102 070200;1.1269;1.1271;1.1269;1.1269;118
20190102 070300;1.1269;1.127;1.1269;1.1269;92
20190102 070400;1.127;1.127;1.1267;1.1268;169
20190102 070500;1.1268;1.1269;1.1268;1.1269;70
20190102 070600;1.1269;1.1269;1.1268;1.1268;106
20190102 070700;1.1268;1.1269;1.1268;1.1268;160
20190102 070800;1.1268;1.1269;1.1268;1.1269;58
20190102 070900;1.1269;1.1269;1.1268;1.1268;90
20190102 071000;1.1268;1.1268;1.1267;1.1267;77
20190102 071100;1.1267;1.1268;1.1267;1.1267;102
20190102 071200;1.1267;1.1267;1.1267;1.1267;73
20190102 071300;1.1268;1.1268;1.1267;1.1268;103
20190102 071400;1.1268;1.1268;1.1267;1.1268;76
20190102 071500;1.1267;1.1268;1.1267;1.1268;52
20190102 071600;1.1268;1.1268;1.1265;1.1266;151
20190102 071700;1.1266;1.1268;1.1266;1.1267;103
20190102 071800;1.1267;1.1269;1.1267;1.1268;75
20190102 071900;1.1268;1.1268;1.1267;1.1267;159
20190102 072000;1.1267;1.1268;1.1267;1.1268;111
20190102 072100;1.1268;1.1269;1.1268;1.1268;122
20190102 072200;1.1268;1.1268;1.1266;1.1266;172
20190102 072300;1.1266;1.1267;1.1265;1.1266;140
20190102 072400;1.1266;1.1267;1.1266;1.1267;107
20190102 072500;1.1267;1.1267;1.1266;1.1267;78
20190102 072600;1.1267;1.1267;1.1267;1.1267;130
